"","Test","Hyp 1 Bank","Hyp 2 Distance","Hyp 3 Bank & Distance","Hyp 4 Other Variables"
"1","d15N",0.0317225717199493,0.0109253638124916,0.9544844775265,0.00286758694105944
"2","d13C",2.98559304458586e-05,0.701007283622998,0.298897614156303,6.52462902531195e-05
"3","d15NH4",0.00233667750070479,0.000246464305246536,0.997404433731215,1.2424462833617e-05
"4","d15NO3",0.0121357410063523,0.232923402009917,0.753985306942606,0.000955550041124996
"5","Percent Nitrogen",0.000582136715709555,0.293276701811525,0.706141161472765,0
"6","NO3 Concentration",0.627163601521828,0.00384377127038613,0.361631229638404,0.00736139756938119
"7","NH4 Concentration",0.387804412764171,0.120225534625158,0.463499097890217,0.0284709547204534
"8","Net Nitrification",0.284177695708093,0.0190628892475588,0.207716064982506,0.489043350061842
"9","Net Mineralization",0.299982773770436,0.114505703314496,0.126289276503795,0.459222246411273
"10","Organic Nitrgen",0.00367840985349718,0.360306510184294,0.626054890704004,0.00996018925820489
