,ID,Side,Distance,Transect,Location,GW,NetMin,NetNit,NO3Conc,NH4Conc
1,Up3 RR 1m,Right,1,3,Up,2.440611474,0.344116732,-0.009210746,284.5009986,7254.706306
2,Up3 RR 3m,Right,3,3,Up,0.836514545,0.090250079,0.063504959,39.18035871,616.0346496
3,Up3 RR 6m,Right,6,3,Up,1.052323059,0.026760879,0.015411715,152.3549905,517.7680759
4,Up3 RR 10m,Right,10,3,Up,0.951900097,-0.00338286,-0.004043686,1151.91989,323.411049
5,Up3 RR 20m,Right,20,3,Up,2.30872049,0.439793657,0.298678199,133.8063827,3721.321272
6,Up1 RR 1m,Right,1,1,Up,4.17671216,0.271053569,0.024436842,750.9322475,1922.544663
7,Up1 RR 3m,Right,3,1,Up,3.304191182,0.042808912,-0.003028429,614.9440068,556.6255634
8,Up1 RR 6m,Right,6,1,Up,7.484188998,0.026255737,0.145133931,61.61582892,3107.653003
9,Up1 RR 10m,Right,10,1,Up,4.896647248,0.27979696,0.22244119,97.05786593,1116.936584
10,Up1 RR 20m,Right,20,1,Up,3.126366204,0.686866391,0.610597389,218.9410338,355.1085143
11,Up2 RR 1m,Right,1,2,Up,3.937076147,2.440480889,2.290553187,148.3472434,1198.858781
12,Up2 RR 3m,Right,3,2,Up,3.297833004,0.145297891,-0.069768442,186.6160352,607.3661962
13,Up2 RR 6m,Right,6,2,Up,5.193794036,0.209449064,0.008702694,211.5803973,871.4742675
14,Up2 RR 10m,Right,10,2,Up,5.749410576,0.080232493,0.1271049,315.7043142,801.2662595
15,Up2 RR 20m,Right,20,2,Up,1.808709954,0.089770365,-0.005619667,105.345913,411.1873435
16,Mid3 RR 1m,Right,1,3,Mid,4.231961758,0.232756259,0.173884598,213.368684,4444.376091
17,Mid3 RR 3m,Right,3,3,Mid,1.94604147,0.291060256,0.206951557,175.5111919,2441.240332
18,Mid3 RR 6m,Right,6,3,Mid,2.738769453,0.092692735,0.026281057,709.0395066,2999.845967
19,Mid3 RR 20m,Right,20,3,Mid,1.801830809,0.144964485,0.096144824,886.8267807,3577.956574
20,Mid1 RR 1m,Right,1,1,Mid,4.555913389,0.298447987,0.401972556,170.4393943,2463.533828
21,Mid1 RR 3m,Right,3,1,Mid,2.99699492,0.175125224,0.313384387,324.4701321,38846.16607
22,Mid1 RR 6m,Right,6,1,Mid,1.011295778,0.0937511,-0.015593308,1395.728877,6266.740481
23,Mid1 RR 10m,Right,10,1,Mid,1.050916381,0.096757267,0.106960348,289.8811841,304.2278254
24,Mid1 RR 20m,Right,20,1,Mid,1.037973257,0.021827146,0.051851474,259.4821516,2500.170652
25,Low3 RR 1m,Right,1,3,Low,4.329957599,0.006687083,0.210261142,26.04166321,1271.771841
26,Low3 RR 3m,Right,3,3,Low,1.930719997,-0.083161329,-0.007655041,14052.25314,5007.554128
27,Low3 RR 6m,Right,6,3,Low,2.630443048,0.427096615,0.411675784,1134.109392,4041.147553
28,Low3 RR 10m,Right,10,3,Low,3.006126319,0.253312174,0.166812963,129.2559509,3396.888261
29,Low3 RR 20m,Right,20,3,Low,2.679858657,0.350223106,0.065204887,1062.452431,711.1971931
30,Low1 RR 1m,Right,1,1,Low,1.800121537,0.165077743,0.147423785,197.7916321,2079.807941
31,Low1 RR 3m,Right,3,1,Low,0.288798777,0.055364762,0.020424282,294.6601764,3036.144226
32,Low1 RR 6m,Right,6,1,Low,1.907923685,0.901870948,0.485652141,140.9382724,3196.955845
33,Low1 RR 10m,Right,10,1,Low,0.797219761,0.232988694,0.226981667,2056.148488,29427.18965
34,Low1 RR 20m,Right,20,1,Low,0.910965801,0.083009339,0.045897449,37.16077149,7596.393391
35,Mid2 RR 1m,Right,1,2,Mid,4.058487817,0.853392187,0.000192223,649.5443124,1238.890714
36,Mid2 RR 3m,Right,3,2,Mid,3.236622938,0.144373659,0.067186909,819.8453066,4517.298015
37,Mid2 RR 6m,Right,6,2,Mid,2.429842169,0.066106168,0.084636157,1033.252008,521.2843301
38,Mid2 RR 10m,Right,10,2,Mid,3.580351202,0.053492191,0.054625268,209.529693,194.6694134
39,Mid2 RR 20m,Right,20,2,Mid,1.127381447,0.210402753,0.012906823,384.3555989,602.6059396
40,Low2 RR 1m,Right,1,2,Low,0.201577728,0.016611652,0.022038057,928.449413,5277.729595
41,Low2 RR 3m,Right,3,2,Low,1.696666307,0.130370692,0.180405897,105.2902477,6040.506846
42,Low2 RR 6m,Right,6,2,Low,0.741229775,1.009763175,0.412207941,416.6978128,1707.056052
43,Low2 RR 10m,Right,10,2,Low,1.920545117,0.082446469,0.102098363,79.51731689,1551.495092
44,Low2 RR 20m,Right,20,2,Low,1.899174732,0.22047528,0.311284391,129.2027053,226.0430017
45,Up3 RL 1m,Left,1,3,Up,0.892152558,0.379990234,0.298706556,435.2836656,5113.181438
46,Up3 RL 3m,Left,3,3,Up,1.14256985,0.304964489,0.325503497,56.03296074,742.5781317
47,Up3 RL 6m,Left,6,3,Up,1.991898225,0.43797813,0.304672177,1565.43107,1436.361799
48,Up3 RL 10m,Left,10,3,Up,0.933605302,0.096824426,0.070200701,276.3474566,2319.707177
49,Up3 RL 20m,Left,20,3,Up,0.773769228,-0.02249569,-0.013369372,65.92087378,505.4386911
50,Up1 RL 1m,Left,1,1,Up,2.694934957,0.035540922,0.039597879,85.88057234,150.1116591
51,Up1 RL 3m,Left,3,1,Up,0.666012625,0.019330374,0.047793348,1130.762727,926.8171602
52,Up1 RL 6m,Left,6,1,Up,0.740877786,0.157227339,0.123774322,274.7523304,3842.631319
53,Up1 RL 10m,Left,10,1,Up,0.829089395,0.043426891,0.014729291,470.3516457,3868.325797
54,Up1 RL 20m,Left,20,1,Up,1.478239825,0.022254428,0.03165687,59.2213826,446.2423973
55,Up2 RL 1m,Left,1,2,Up,1.662361826,0.643830322,0.05312672,156.9466815,1113.651184
56,Up2 RL 3m,Left,3,2,Up,0.625610982,0.04379396,0.0737013,1607.646257,1193.214266
57,Up2 RL 6m,Left,6,2,Up,1.038962224,-0.480209314,0.104067001,425.8973172,600.3657488
58,Up2 RL 10m,Left,10,2,Up,0.499666471,-0.0773368,0.001186736,908.7872303,1252.484665
59,Up2 RL 20m,Left,20,2,Up,1.513165125,0.11327511,0.057946216,80.46050879,3428.326772
60,Mid1 RL 1m,Left,1,1,Mid,1.665108372,0.301781474,0.245747333,268.4901156,5309.642362
