"","ID","Reach","Site","Distance","Bank","massN","massNH4","massNO3","OrgN","C.N"
"1","L1-RL-1m","Low",1,1,"Left",5.4996298,0.000384122541798925,0.000364916414708979,5498.88076104349,11.5264876558314
"2","L1-RR-1m","Low",1,1,"Right",3.2809465,0.000321710575142774,9.4294478921158e-05,3280.53049494594,9.35587098900854
"3","L1-RL-10m","Low",1,10,"Left",1.4404418,3.88785915182519e-05,2.3925287088155e-05,1440.37899612139,12.7105803034341
"4","L1-RR-10m","Low",1,10,"Right",1.908359,0.0001194583376462,5.27022077850881e-05,1908.18683945457,12.7720099844739
"5","L1-RL-20m","Low",1,20,"Left",1.69844357,0.0001699955022558,1.699955022558e-05,1698.25657494752,15.1923812032008
"6","L1-RR-20m","Low",1,20,"Right",2.0470176,2.62628678374314e-05,7.50367652498039e-06,2046.98383345564,17.9360333631425
"7","L1-RL-3m","Low",1,3,"Left",3.059246,0.00611599430442073,0.000163967675721736,3052.96603801986,9.74474648113684
"8","L1-RR-3m","Low",1,3,"Right",2.5881525,8.10895822373606e-05,3.80107416737628e-05,2588.03339967609,10.5071486411713
"9","L1-RL-6m","Low",1,6,"Left",2.3546,0.000227742503971475,0.000146405895410234,2354.22585160062,11.8878093754188
"10","L1-RR-6m","Low",1,6,"Right",4.5959893,0.000256324568819668,9.81668561437027e-05,4595.63480857504,9.85500084124043
"11","L2-RL-1m","Low",2,1,"Left",5.4417324,0.000482050002142907,4.54764152965006e-05,5441.20487358256,11.4372279267515
"12","L2-RR-1m","Low",2,1,"Right",1.67614458,0.00010310945508029,2.14811364750604e-05,1676.01998940844,10.7669019038234
"13","L2-RL-10m","Low",2,10,"Left",4.84764,0.000521253668241903,0.000148929619497687,4846.96981671226,12.4894272254839
"14","L2-RR-10m","Low",2,10,"Right",2.587071,0.00015138298326773,2.80338857903203e-05,2586.89158313094,9.18055442677695
"15","L2-RL-20m","Low",2,20,"Left",2.2905216,0.000335985231014833,7.50605303331009e-05,2290.11055423865,21.1040419671345
"16","L2-RR-20m","Low",2,20,"Right",3.253528,0.00036912971745526,5.03358705620809e-05,3253.10853441198,10.3474192600987
"17","L2-RL-3m","Low",2,3,"Left",5.3909506,0.0002987580742534,0.00017925484455204,5390.47258708119,11.2129047346964
"18","L2-RR-3m","Low",2,3,"Right",3.580011,0.000193237050899994,4.57666699499986e-05,3579.77199627915,9.88952961753771
"19","L2-RL-6m","Low",2,6,"Left",5.075697,0.000307836429728287,0.000150900210651121,5075.23826335962,11.1788195998281
"20","L2-RR-6m","Low",2,6,"Right",1.1567272,0.00016781429489718,7.04820038568158e-05,1156.48890370125,8.87032823080784
"21","L3-RL-1m","Low",3,1,"Left",3.5066521,0.000648525102985722,0.000212948541278894,3505.79062635574,11.7282701592573
"22","L3-RR-1m","Low",3,1,"Right",4.1451224,0.000736693953756051,0.000278749063583371,4144.10695698266,11.582277670746
"23","L3-RL-10m","Low",3,10,"Left",2.5584204,6.31239699080494e-05,1.05206616513416e-05,2558.34675536844,13.8576988705643
"24","L3-RR-10m","Low",3,10,"Right",5.2289494,0.00043175366160623,1.62925910040087e-05,5228.50135374739,11.0666072508419
"25","L3-RL-20m","Low",3,20,"Left",1.5982322,0.000158793065964217,2.92513542565662e-05,1598.04415557978,16.9526265996498
"26","L3-RR-20m","Low",3,20,"Right",4.6170492,0.000192459114441458,4.98968074477855e-05,4616.80684407811,9.16227291166514
"27","L3-RR-3m","Low",3,3,"Right",2.3128668,0.000322997530778542,7.93327268578874e-05,2312.46446974236,10.98506191882
"28","L3-RL-6m","Low",3,6,"Left",2.410219,0.000345886761385819,8.64716903464546e-05,2409.78664154827,12.1455000488753
"29","L3-RR-6m","Low",3,6,"Right",5.1279004,0.000190123134916996,0.000168998342148441,5127.54127852294,9.84310668272306
"30","M1-RL-1m","Mid",1,1,"Left",4.4358444,0.000440948026941054,5.91515645896535e-05,4435.34430040847,13.8750084143642
"31","M1-RR-1m","Mid",1,1,"Right",4.2684868,0.000459198858422064,1.11999721566357e-05,4268.01640116942,10.7641172831664
"32","M1-RR-10m","Mid",1,10,"Right",1.64645944,0.000117036613363487,1.17036613363487e-05,1646.3306997253,13.7882477177898
"33","M1-RL-20m","Mid",1,20,"Left",2.78973,0.000299561022208198,0.000127313434438484,2789.30312554335,15.8921536986765
