Sample ID,Reach,Site,Bank,Distance,Replicate,Weight (mg),pctN,d15N,pctC,d13C
L1-RL-1m,Low,1,Left,1,1,2.014,2.7307,7.4187,36.7035,-26.6341
L1-RL-3m-2,Low,1,Left,3,2,2.03,1.5581,10.3039,17.7484,-26.3306
L1-RL-3m,Low,1,Left,3,1,2.012,1.5205,10.1176,17.278,-26.2995
L1-RL-6m,Low,1,Left,6,1,2,1.1773,6.7202,16.3202,-26.8031
L1-RL-10m,Low,1,Left,10,1,2.02,0.71309,6.3235,10.5693,-27.0756
L1-RL-20m,Low,1,Left,20,1,2.027,0.83791,6.079,14.8443,-26.6055
L1-RR-1m,Low,1,Right,1,1,2.011,1.6315,7.8484,17.7995,-26.6618
L1-RR-3m,Low,1,Right,3,1,2.025,1.2781,6.8114,15.6598,-27.3131
L1-RR-6m,Low,1,Right,6,1,2.009,2.2877,7.0393,26.2901,-26.3716
L1-RR-10m,Low,1,Right,10,1,2.005,0.9518,8.2255,14.1756,-26.4491
L1-RR-20m,Low,1,Right,20,1,2.034,1.0064,5.6206,21.0491,-26.2388
L2-RL-1m,Low,2,Left,1,1,2.028,2.6833,7.3325,35.7871,-26.9325
L2-RL-3m-2,Low,2,Left,3,2,2.012,2.6302,8.556,34.2221,-26.8244
L2-RL-3m,Low,2,Left,3,1,2.009,2.6834,8.5111,35.0865,-26.8004
L2-RL-6m,Low,2,Left,6,1,2.035,2.4942,7.8444,32.5135,-26.1202
L2-RL-10m,Low,2,Left,10,1,2.03,2.388,6.6803,34.7787,-26.2705
L2-RL-20m,Low,2,Left,20,1,2.022,1.1328,5.5279,27.8776,-27.1894
L2-RR-1m,Low,2,Right,1,1,2.013,0.83266,6.8205,10.4543,-26.8135
L2-RR-3m,Low,2,Right,3,1,2.01,1.7811,9.3462,20.54,-27.2152
L2-RR-6m,Low,2,Right,6,1,2.011,0.5752,6.3198,5.9497,-26.6842
L2-RR-10m,Low,2,Right,10,1,2.01,1.2871,7.3182,13.779,-27.0183
L2-RR-20m,Low,2,Right,20,1,2.036,1.598,5.4996,19.2817,-26.7979
L3-RL-1m,Low,3,Left,1,1,2.003,1.7507,5.6937,23.9432,-27.4283
L3-RL-3m-2,Low,3,Left,3,2,2.041,2.0688,8.7343,29.15,-27.14
L3-RL-3m,Low,3,Left,3,1,0.03,139.3744,8.8876,1844.3329,-27.2271
L3-RL-6m,Low,3,Left,6,1,2.03,1.1873,10.9677,16.8156,-26.55
L3-RL-10m,Low,3,Left,10,1,2.018,1.2678,8.834,20.487,-25.8316
L3-RL-20m,Low,3,Left,20,1,2.012,0.79435,6.3633,15.7031,-26.6519
L3-RR-1m,Low,3,Right,1,1,2.012,2.0602,3.9814,27.8253,-27.5153
L3-RR-3m,Low,3,Right,3,1,2.007,1.1524,3.3423,14.7619,-28.3019
L3-RR-6m,Low,3,Right,6,1,2.023,2.5348,6.3253,29.0946,-27.0432
L3-RR-10m,Low,3,Right,10,1,2.042,2.5607,4.176,33.0453,-26.8844
L3-RR-20m,Low,3,Right,20,1,2.019,2.2868,6.2835,24.4325,-26.1116
M1-RL-1m-2,Mid,1,Left,1,2,2.03,1.9544,3.5568,32.0498,-28.1061
M1-RL-1m,Mid,1,Left,1,1,2.028,2.1873,3.3769,35.3898,-28.2178
M1-RL-3m,Mid,1,Left,3,1,2.029,2.0178,8.4071,27.088,-26.5481
M1-RL-6m,Mid,1,Left,6,1,2.039,2.6821,7.2223,31.5659,-27.0498
M1-RL-20m,Mid,1,Left,20,1,2.007,1.39,6.3862,25.7593,-25.9687
M1-RR-1m,Mid,1,Right,1,1,2.033,2.0996,6.7839,26.3543,-27.0563
M1-RR-3m,Mid,1,Right,3,1,2.018,2.1145,6.9683,24.9793,-27.2369
M1-RR-6m,Mid,1,Right,6,1,2.017,1.1708,8.026,18.5791,-26.1492
M1-RR-10m,Mid,1,Right,10,1,2.038,0.80788,7.9857,12.9895,-26.3884
M1-RR-20m,Mid,1,Right,20,1,2.016,0.75762,6.3589,15.6909,-26.2538
M2-RL-1m,Mid,2,Left,1,1,2.015,1.79,8.101,24.6058,-27.223
M2-RL-3m,Mid,2,Left,3,1,2.042,2.2341,7.8012,33.2738,-27.502
M2-RL-6m,Mid,2,Left,6,1,2.023,1.4611,11.8069,22.7046,-26.2009
