Sample #,Sample ID ,Soil lab #,NH4-N mg/L,NO3-N mg/L,Side,Distance,Transect ,Incubation,Location,Initial_Wet,Soil_Wet_Tin,Soil_Dry_Tin
1,Up3 RR 1m,183,0.56,0.12,Right,1,3,I,Up,10.336,65.373,21.202
2,Up3 RR 3m,177,0.12,0.06,Right,3,3,I,Up,10.667,72.508,40.895
3,Up3 RR 6m,182,0.17,0.11,Right,6,3,I,Up,10.605,70.909,36.142
4,Up3 RR 10m,164,0.16,0.59,Right,10,3,I,Up,10.73,63.541,34.067
5,Up3 RR 20m,173,0.49,0.08,Right,20,3,I,Up,10.11,62.761,21.134
16,Up1 RR 1m,178,0.15,0.08,Right,1,1,I,Up,10.304,58.988,13.899
17,Up1 RR 3m,128,0.41,0.08,Right,3,1,I,Up,10.194,58.457,15.964
18,Up1 RR 6m,129,0.55,0.12,Right,6,1,I,Up,10.446,57.032,9.46
19,Up1 RR 10m,146,0.47,0.19,Right,10,1,I,Up,10.026,51.352,11.286
20,Up1 RR 20m,165,0.32,0.08,Right,20,1,I,Up,10.326,47.905,13.961
26,Up2 RR 1m,150,0.56,2.84,Right,1,2,I,Up,10.165,56.248,13.868
27,Up2 RR 3m,142,0.19,0.29,Right,3,2,I,Up,10.555,69.743,18.609
28,Up2 RR 6m,174,0.07,0.06,Right,6,2,I,Up,10.434,61.123,12.471
29,Up2 RR 10m,156,0.21,0.19,Right,10,2,I,Up,10.494,76.58,13.99
30,Up2 RR 20m,161,0.24,0.11,Right,20,2,I,Up,10.06,55.473,21.749
41,Mid3 RR 1m,35,0.99,0.06,Right,1,3,I,Mid,10.062,69.138,15.725
42,Mid3 RR 3m ,79,0.16,0.18,Right,3,3,I,Mid,10.103,73.954,27.153
43,Mid3 RR 6m,74,0.15,0.06,Right,6,3,I,Mid,10.634,65.247,19.725
44,Mid3 RR 10m,76,0.24,0.09,Right,10,3,I,Mid,10.674,55.981,24.946
45,Mid3 RR 20m,81,1.52,0.19,Right,20,3,I,Mid,10.357,52.994,20.91
46,Mid1 RR 1m,92,0.42,0.05,Right,1,1,I,Mid,10.085,57.159,12.833
47,Mid1 RR 3m,112,0.84,0.41,Right,3,1,I,Mid,10.585,58.967,17.08
48,Mid1 RR 6m,106,0.33,0.17,Right,6,1,I,Mid,10.569,67.323,35.033
49,Mid1 RR 10m,125,0.31,0.07,Right,10,1,I,Mid,10.714,75.393,38.351
50,Mid1 RR 20m,90,0.29,0.08,Right,20,1,I,Mid,10.535,81.442,41.543
56,Low3 RR 1m,118,0.75,0.32,Right,1,3,I,Low,10.772,53.804,12.616
57,Low3 RR 3m,95,0.58,0.18,Right,3,3,I,Low,10.38,56.983,21.488
58,Low3 RR 6m,99,0.28,0.28,Right,6,3,I,Low,10.43,57.213,18.008
59,Low3 RR 10m,109,0.54,0.06,Right,10,3,I,Low,10.042,58.033,16.815
60,Low3 RR 20m,85,0.28,0.11,Right,20,3,I,Low,10.423,63.852,19.612
61,Low1 RR 1m ,139,0.59,0.21,Right,1,1,I,Low,10.152,76.829,29.433
62,Low1 RR 3m,153,0.33,0.19,Right,3,1,I,Low,10.299,55.651,43.876
63,Low1 RR 6m,160,0.48,0.22,Right,6,1,I,Low,10.712,59.498,22.497
64,Low1 RR 10m,143,0.35,0.19,Right,10,1,I,Low,10.256,57.188,33.197
65,Low1 RR 20m,172,0.08,0.06,Right,20,1,I,Low,10.36,51.811,28.592
71,Mid2 RR 1m,127,1.14,0.06,Right,1,2,I,Mid,10.065,44.762,11.339
72,Mid2 RR 3m,75,0.11,0.05,Right,3,2,I,Mid,10.233,54.991,15.351
73,Mid2 RR 6m,78,0.21,0.06,Right,6,2,I,Mid,10.028,57.214,18.88
74,Mid2 RR 10m,83,0.29,0.06,Right,10,2,I,Mid,10.615,55.88,14.626
75,Mid2 RR 20m,91,0.44,0.06,Right,20,2,I,Mid,10.735,50.896,25.569
76,Low2 RR 1m,114,0.49,0.14,Right,1,2,I,Low,11.26,56.364,47.429
77,Low2 RR 3m,131,0.39,0.13,Right,3,2,I,Low,10.659,69.812,27.841
78,Low2 RR 6m,110,0.51,0.25,Right,6,2,I,Low,10.433,55.369,33.12
79,Low2 RR 10m,97,0.28,0.09,Right,10,2,I,Low,10.47,50.251,19.247
80,Low2 RR 20m,108,0.67,0.13,Right,20,2,I,Low,10.554,47.836,18.533
97,Up3 RR 1m F,41,1.98,0.08,Right,1,3,F,Up,10.633,65.373,21.202
98,Up3 RR 3m F,27,0.32,0.56,Right,3,3,F,Up,10.385,72.508,40.895
99,Up3 RR 6m F,28,0.24,0.22,Right,6,3,F,Up,10.382,70.909,36.142
100,Up3 RR 10m F,31,0.16,0.59,Right,10,3,F,Up,10.165,63.541,34.067
101,Up3 RR 20m F,30,1.11,1.42,Right,20,3,F,Up,10.105,62.761,21.134
112,Up1 RR 1m F,7,0.84,0.15,Right,1,1,F,Up,10.184,58.988,13.899
113,Up1 RR 3m F,29,0.56,0.07,Right,3,1,F,Up,10.074,58.457,15.964
114,Up1 RR 6m F,17,0.34,0.37,Right,6,1,F,Up,10.308,57.032,9.46
115,Up1 RR 10m F,21,0.59,0.74,Right,10,1,F,Up,10.232,51.352,11.286
116,Up1 RR 20m F,8,0.57,2.21,Right,20,1,F,Up,10.419,47.905,13.961
122,Up2 RR 1m F,25,0.99,9.64,Right,1,2,F,Up,10.214,56.248,13.868
123,Up2 RR 3m F,49,0.92,0.06,Right,3,2,F,Up,10.187,69.743,18.609
124,Up2 RR 6m F,24,0.52,0.08,Right,6,2,F,Up,10.486,61.123,12.471
125,Up2 RR 10m F,89,0.1,0.47,Right,10,2,F,Up,10.23,76.58,13.99
126,Up2 RR 20m F,33,0.73,0.08,Right,20,2,F,Up,10.102,55.473,21.749
137,Mid3 RR 1m F,34,1.11,0.54,Right,1,3,F,Mid,10.373,69.138,15.725
138,Mid3 RR 3m F,64,0.54,1.16,Right,3,3,F,Mid,10.671,73.954,27.153
139,Mid3 RR 6m F,71,0.39,0.16,Right,6,3,F,Mid,10.559,65.247,19.725
140,Mid3 RR 10m F,53,0.09,1.72,Right,10,3,F,Mid,10.04,55.981,24.946
141,Mid3 RR 20m F,54,1.74,0.68,Right,20,3,F,Mid,10.47,52.994,20.91
